	Prob	refPrice	low_dlev	medium_dlev	high_dlev
258	0.0025	40	0.38295	0.61272	0.7659
259	0.0025	40	0.37725	0.6036	0.7545
260	0.0025	40	0.3716	0.59456	0.7432
261	0.0025	40	0.3659	0.58544	0.7318
262	0.0025	40	0.36025	0.5764	0.7205
263	0.0025	40	0.35455	0.56728	0.7091
264	0.0025	40	0.34885	0.55816	0.6977
265	0.0025	40	0.3432	0.54912	0.6864
266	0.0025	40	0.3375	0.54	0.675
267	0.0025	40	0.3318	0.53088	0.6636
268	0.0025	40	0.32615	0.52184	0.6523
269	0.0025	40	0.32045	0.51272	0.6409
270	0.0025	40	0.31475	0.5036	0.6295
271	0.0025	40	0.3091	0.49456	0.6182
272	0.0025	40	0.3034	0.48544	0.6068
273	0.0025	40	0.29775	0.4764	0.5955
274	0.0025	40	0.29205	0.46728	0.5841
275	0.0025	40	0.28635	0.45816	0.5727
276	0.0025	40	0.2807	0.44912	0.5614
277	0.0025	40	0.275	0.44	0.55
278	0.0025	40	0.2625	0.42	0.525
279	0.0025	40	0.25	0.4	0.5
280	0.0025	40	0.2375	0.38	0.475
281	0.0025	100	0.475	0.76	0.95
282	0.0025	75	0.4625	0.74	0.925
283	0.0025	65	0.45	0.72	0.9
284	0.0025	45	0.4375	0.7	0.875
285	0.0025	40	0.4318	0.69088	0.8636
286	0.0025	40	0.42615	0.68184	0.8523
287	0.0025	40	0.42045	0.67272	0.8409
288	0.0025	40	0.41475	0.6636	0.8295
289	0.0025	40	0.4091	0.65456	0.8182
290	0.0025	40	0.4034	0.64544	0.8068
291	0.0025	40	0.39775	0.6364	0.7955
292	0.0025	40	0.39205	0.62728	0.7841
293	0.0025	40	0.38635	0.61816	0.7727
294	0.0025	40	0.3807	0.60912	0.7614
295	0.0025	40	0.375	0.6	0.75
296	0.0025	40	0.3693	0.59088	0.7386
297	0.0025	40	0.36365	0.58184	0.7273
298	0.0025	40	0.35795	0.57272	0.7159
299	0.0025	40	0.35225	0.5636	0.7045
300	0.0025	40	0.3466	0.55456	0.6932
301	0.0025	40	0.3409	0.54544	0.6818
302	0.0025	40	0.33525	0.5364	0.6705
303	0.0025	40	0.32955	0.52728	0.6591
304	0.0025	40	0.32385	0.51816	0.6477
305	0.0025	40	0.3182	0.50912	0.6364
306	0.0025	40	0.3125	0.5	0.625
307	0.0025	40	0.3068	0.49088	0.6136
308	0.0025	40	0.30115	0.48184	0.6023
309	0.0025	40	0.29545	0.47272	0.5909
310	0.0025	40	0.28975	0.4636	0.5795
311	0.0025	40	0.2841	0.45456	0.5682
312	0.0025	40	0.2784	0.44544	0.5568
313	0.0025	40	0.27275	0.4364	0.5455
314	0.0025	40	0.26705	0.42728	0.5341
315	0.0025	40	0.26135	0.41816	0.5227
316	0.0025	40	0.2557	0.40912	0.5114
317	0.0025	40	0.25	0.4	0.5
318	0.0025	40	0.2375	0.38	0.475
319	0.0025	40	0.225	0.36	0.45
320	0.0025	40	0.2125	0.34	0.425
321	0.000625	250	0.5	0.8	1
322	0.000625	175	0.4875	0.78	0.975
323	0.000625	100	0.475	0.76	0.95
324	0.000625	75	0.4625	0.74	0.925
325	0.000625	70	0.4568	0.73088	0.9136
326	0.000625	65	0.45115	0.72184	0.9023
